               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
49,0.023425,0.014965,0,0.95852,0.91325,0.96317,0.77655,0.018883,0.0038139,0,0.006832,0.006832,0.006832
50,0.02313,0.014661,0,0.93474,0.90973,0.96292,0.77717,0.019372,0.0037878,0,0.006766,0.006766,0.006766
51,0.022526,0.014514,0,0.92482,0.90859,0.95496,0.76167,0.020765,0.003765,0,0.0067,0.0067,0.0067
52,0.022094,0.014434,0,0.93975,0.91325,0.95976,0.75915,0.019341,0.0038427,0,0.006634,0.006634,0.006634
53,0.022365,0.014569,0,0.94328,0.91639,0.969,0.7782,0.018421,0.0035345,0,0.006568,0.006568,0.006568
54,0.022465,0.014612,0,0.96378,0.90465,0.96843,0.79283,0.019182,0.0036619,0,0.006502,0.006502,0.006502
55,0.022562,0.014698,0,0.9572,0.91208,0.96649,0.79436,0.018467,0.0038655,0,0.006436,0.006436,0.006436
56,0.021633,0.014334,0,0.95437,0.90731,0.96595,0.77257,0.017998,0.0036899,0,0.00637,0.00637,0.00637
57,0.022486,0.014462,0,0.96113,0.90504,0.9667,0.77833,0.017743,0.003666,0,0.006304,0.006304,0.006304
58,0.022392,0.014445,0,0.95031,0.92028,0.96604,0.80493,0.017724,0.0035513,0,0.006238,0.006238,0.006238
59,0.021994,0.014382,0,0.95357,0.91484,0.96629,0.78171,0.018156,0.0036602,0,0.006172,0.006172,0.006172
60,0.022555,0.01469,0,0.94169,0.93435,0.966,0.78801,0.018119,0.0036142,0,0.006106,0.006106,0.006106
61,0.022317,0.014329,0,0.92484,0.84174,0.92773,0.6876,0.020826,0.0044115,0,0.00604,0.00604,0.00604
62,0.022274,0.014427,0,0.94159,0.90706,0.96365,0.77907,0.01825,0.0035857,0,0.005974,0.005974,0.005974
63,0.022428,0.014559,0,0.93381,0.92625,0.97108,0.77721,0.017877,0.003553,0,0.005908,0.005908,0.005908
64,0.0218,0.01443,0,0.95405,0.91911,0.9669,0.78355,0.018703,0.003705,0,0.005842,0.005842,0.005842
65,0.021564,0.014234,0,0.93822,0.90387,0.95543,0.77393,0.018517,0.003734,0,0.005776,0.005776,0.005776
66,0.021949,0.014178,0,0.95806,0.9109,0.96622,0.80178,0.018292,0.0034915,0,0.00571,0.00571,0.00571
67,0.021849,0.014437,0,0.94962,0.91325,0.96372,0.78216,0.018196,0.003643,0,0.005644,0.005644,0.005644
68,0.02147,0.014101,0,0.96178,0.90621,0.96971,0.78777,0.018907,0.0037282,0,0.005578,0.005578,0.005578
69,0.02185,0.014387,0,0.94309,0.91307,0.9633,0.78185,0.017956,0.0036707,0,0.005512,0.005512,0.005512
70,0.0218,0.014237,0,0.95696,0.91235,0.96679,0.78797,0.01802,0.0036003,0,0.005446,0.005446,0.005446
71,0.021046,0.013951,0,0.91886,0.91608,0.96398,0.77664,0.018859,0.0036482,0,0.00538,0.00538,0.00538
72,0.021518,0.014177,0,0.9316,0.92614,0.96688,0.77918,0.018978,0.0036469,0,0.005314,0.005314,0.005314
73,0.021649,0.014097,0,0.94578,0.92014,0.96787,0.79404,0.018468,0.003602,0,0.005248,0.005248,0.005248
74,0.021305,0.013889,0,0.91856,0.92555,0.96398,0.80109,0.018776,0.0035749,0,0.005182,0.005182,0.005182
75,0.020984,0.014158,0,0.91056,0.90856,0.95773,0.77695,0.01894,0.0038017,0,0.005116,0.005116,0.005116
76,0.021457,0.013863,0,0.90758,0.86166,0.92476,0.70621,0.021533,0.0042272,0,0.00505,0.00505,0.00505
77,0.02087,0.013904,0,0.94193,0.91279,0.96592,0.793,0.017949,0.003548,0,0.004984,0.004984,0.004984
78,0.021192,0.014005,0,0.94055,0.90881,0.96138,0.78751,0.017981,0.0038493,0,0.004918,0.004918,0.004918
79,0.020717,0.013841,0,0.95049,0.90019,0.96323,0.79768,0.018222,0.0036819,0,0.004852,0.004852,0.004852
80,0.020467,0.014119,0,0.93505,0.92828,0.96554,0.78488,0.018262,0.0035596,0,0.004786,0.004786,0.004786
81,0.020878,0.013944,0,0.93869,0.91543,0.96056,0.78612,0.01899,0.0037159,0,0.00472,0.00472,0.00472
82,0.020366,0.013824,0,0.94346,0.91949,0.96713,0.79112,0.019473,0.0036312,0,0.004654,0.004654,0.004654
83,0.020333,0.013934,0,0.92735,0.92778,0.96392,0.79213,0.018043,0.003556,0,0.004588,0.004588,0.004588
84,0.021135,0.013941,0,0.95095,0.91325,0.96758,0.79795,0.017612,0.0034401,0,0.004522,0.004522,0.004522
85,0.020164,0.0138,0,0.92314,0.92934,0.97014,0.8018,0.018095,0.0034293,0,0.004456,0.004456,0.004456
86,0.020905,0.01381,0,0.94961,0.90973,0.9692,0.80348,0.017844,0.0036194,0,0.00439,0.00439,0.00439
87,0.020443,0.013866,0,0.93971,0.93182,0.96949,0.79371,0.017222,0.0034692,0,0.004324,0.004324,0.004324
88,0.020314,0.013811,0,0.95457,0.91132,0.96595,0.79961,0.01751,0.0034733,0,0.004258,0.004258,0.004258
89,0.020556,0.013746,0,0.92771,0.92732,0.96328,0.79431,0.01737,0.0036517,0,0.004192,0.004192,0.004192
90,0.02005,0.013523,0,0.93576,0.9221,0.96704,0.7972,0.017416,0.0037756,0,0.004126,0.004126,0.004126
91,0.01983,0.01346,0,0.94895,0.89332,0.96511,0.7991,0.016803,0.00357,0,0.00406,0.00406,0.00406
92,0.019969,0.013656,0,0.94114,0.91857,0.96667,0.80942,0.016937,0.0034249,0,0.003994,0.003994,0.003994
93,0.020081,0.01372,0,0.93441,0.91855,0.96448,0.80648,0.017388,0.0035007,0,0.003928,0.003928,0.003928
94,0.020106,0.013875,0,0.9384,0.90739,0.96582,0.80408,0.017706,0.0034619,0,0.003862,0.003862,0.003862
95,0.019766,0.013829,0,0.93924,0.90606,0.96288,0.79636,0.018065,0.0035205,0,0.003796,0.003796,0.003796
96,0.020718,0.013915,0,0.94919,0.89794,0.96451,0.80019,0.017591,0.0034742,0,0.00373,0.00373,0.00373
97,0.019633,0.013617,0,0.94261,0.92263,0.96982,0.81127,0.015983,0.0033379,0,0.003664,0.003664,0.003664
98,0.018984,0.013576,0,0.91915,0.93294,0.96697,0.79889,0.017134,0.0034364,0,0.003598,0.003598,0.003598
99,0.019456,0.013554,0,0.95841,0.90387,0.96891,0.81611,0.017151,0.0033466,0,0.003532,0.003532,0.003532
100,0.019965,0.013368,0,0.94126,0.90504,0.96166,0.79723,0.017,0.0035372,0,0.003466,0.003466,0.003466
101,0.019146,0.013294,0,0.92363,0.92164,0.96921,0.80988,0.017599,0.0034085,0,0.0034,0.0034,0.0034
102,0.019563,0.013241,0,0.93811,0.92402,0.97228,0.81992,0.016891,0.0032552,0,0.003334,0.003334,0.003334
103,0.019465,0.013389,0,0.93531,0.9109,0.96598,0.81344,0.017451,0.0035137,0,0.003268,0.003268,0.003268
104,0.019366,0.013412,0,0.9364,0.91794,0.96829,0.81169,0.017082,0.0033739,0,0.003202,0.003202,0.003202
105,0.019305,0.013397,0,0.92026,0.91999,0.96646,0.81409,0.017019,0.0033994,0,0.003136,0.003136,0.003136
106,0.019182,0.013526,0,0.9445,0.91442,0.96789,0.80428,0.017683,0.0034178,0,0.00307,0.00307,0.00307
107,0.019331,0.013442,0,0.95349,0.90152,0.96592,0.81972,0.017772,0.003302,0,0.003004,0.003004,0.003004
108,0.019409,0.013405,0,0.93718,0.92028,0.96838,0.82388,0.01728,0.0033198,0,0.002938,0.002938,0.002938
109,0.019007,0.013446,0,0.94908,0.91442,0.97028,0.82811,0.017892,0.0032823,0,0.002872,0.002872,0.002872
110,0.019143,0.013297,0,0.94295,0.93009,0.97032,0.81735,0.017852,0.0034552,0,0.002806,0.002806,0.002806
111,0.019173,0.013002,0,0.93375,0.91442,0.96284,0.81015,0.018044,0.0036056,0,0.00274,0.00274,0.00274
112,0.019433,0.013158,0,0.93385,0.92678,0.96734,0.81879,0.018001,0.0033981,0,0.002674,0.002674,0.002674
113,0.018893,0.013354,0,0.95098,0.90973,0.96387,0.8086,0.018224,0.0034565,0,0.002608,0.002608,0.002608
114,0.018004,0.013128,0,0.93446,0.92614,0.96634,0.81191,0.017937,0.0034112,0,0.002542,0.002542,0.002542
115,0.018839,0.0132,0,0.95347,0.91292,0.96823,0.81088,0.017985,0.0034048,0,0.002476,0.002476,0.002476
116,0.018643,0.012899,0,0.95724,0.92145,0.9691,0.81463,0.017653,0.0033987,0,0.00241,0.00241,0.00241
117,0.018954,0.01314,0,0.94275,0.92664,0.96516,0.80979,0.018287,0.003471,0,0.002344,0.002344,0.002344
118,0.018229,0.01323,0,0.93879,0.93492,0.96731,0.81732,0.017367,0.0033524,0,0.002278,0.002278,0.002278
119,0.01906,0.013071,0,0.9407,0.92497,0.96906,0.82129,0.017196,0.0033268,0,0.002212,0.002212,0.002212
120,0.01837,0.013068,0,0.93842,0.92894,0.96908,0.81598,0.017171,0.0033509,0,0.002146,0.002146,0.002146
121,0.018331,0.012816,0,0.94478,0.9227,0.96923,0.8231,0.017225,0.0033386,0,0.00208,0.00208,0.00208
122,0.018565,0.013065,0,0.92977,0.93552,0.96851,0.82129,0.01704,0.0033267,0,0.002014,0.002014,0.002014
123,0.018647,0.013123,0,0.92156,0.93657,0.96819,0.80811,0.017273,0.0034013,0,0.001948,0.001948,0.001948
124,0.018468,0.01271,0,0.95365,0.90856,0.96661,0.81128,0.017863,0.0033699,0,0.001882,0.001882,0.001882
125,0.017874,0.012711,0,0.93894,0.92849,0.96841,0.81683,0.01758,0.0032863,0,0.001816,0.001816,0.001816
126,0.017817,0.013022,0,0.93538,0.93338,0.96952,0.81703,0.017457,0.0033617,0,0.00175,0.00175,0.00175
127,0.017797,0.012978,0,0.93291,0.93318,0.96855,0.81754,0.01755,0.0032807,0,0.001684,0.001684,0.001684
128,0.017915,0.012762,0,0.92914,0.93764,0.96778,0.82808,0.017234,0.0032913,0,0.001618,0.001618,0.001618
129,0.017938,0.012774,0,0.9355,0.92497,0.96782,0.82461,0.017305,0.0033178,0,0.001552,0.001552,0.001552
130,0.018279,0.012857,0,0.94342,0.91676,0.96926,0.82407,0.016794,0.0033154,0,0.001486,0.001486,0.001486
131,0.018244,0.012808,0,0.94234,0.91972,0.96893,0.82063,0.016999,0.003325,0,0.00142,0.00142,0.00142
132,0.017675,0.012663,0,0.94209,0.90739,0.96926,0.8199,0.017101,0.0033403,0,0.001354,0.001354,0.001354
133,0.017258,0.012736,0,0.91732,0.94256,0.9704,0.81971,0.017133,0.0033068,0,0.001288,0.001288,0.001288
134,0.017303,0.012764,0,0.92923,0.92145,0.96748,0.82654,0.01691,0.0033371,0,0.001222,0.001222,0.001222
135,0.017384,0.012577,0,0.91678,0.94278,0.9683,0.82858,0.016669,0.0032824,0,0.001156,0.001156,0.001156
